"","Stemmed","Lemmatised","STM"
"1835","skin","security","info"
"1836","sleep","sedation","infofeedback"
"1837","slept","see","inform"
"1838","slight","seek","information-pictur"
"1839","slightli","seem","informationeduc"
"1840","slot","select","infus"
"1841","slow","selection","ingredi"
"1842","slower","self","initi"
"1843","small","send","inject"
"1844","smaller","sense","injuri"
"1845","smart","sensitive","innov"
"1846","smash","sensitivity","inpact"
"1847","smile","sensory","inpati"
"1848","smilei","sentence","inport"
"1849","smoke","separate","inprov"
"1850","smooth","sepsis","input"
"1851","smoothi","serious","inr"
"1852","smoothli","seriously","insert"
"1853","sn","serve","insid"
"1854","snack","service","insight"
"1855","soap","session","insightexperi"
"1856","social","set","inspir"
"1857","sock","setting","instal"
"1858","soggi","settle","instant"
"1859","solut","several","instead"
"1860","solv","severe","instil"
"1861","somebodi","shake","instruct"
"1862","someon","shamble","instructor"
"1863","someth","shame","insulin"
"1864","sometim","shape","intak"
"1865","somewher","share","integr"
"1866","son","sharon","intellig"
"1867","soon","sheet","intend"
"1868","sooner","shield","intens"
"1869","sophi","shift","intent"
"1870","sore","shock","inter-department"
"1871","sorri","shop","interact"
"1872","sort","short","interest"
"1873","sound","shortage","interfac"
"1874","sourc","shoulder","interfer"
"1875","south","shout","intermedi"
"1876","southwel","show","intermitt"
"1877","spa","shower","intern"
"1878","space","shut","internet"
"1879","speak","sick","interperson"
"1880","speaker","sickness","interpret"
"1881","special","side","interrupt"
"1882","specialist","sideroom","intervent"
"1883","specif","sign","interview"
"1884","speech","signage","intim"
"1885","speed","significantly","intimid"
"1886","speedi","signpost","intoler"
"1887","spend","silence","introduc"
"1888","spent","sill","introduct"
"1889","spinal","silly","intuit"
"1890","spirit","silver","invalid"
"1891","splendid","similar","invalu"
"1892","split","simon","invest"
"1893","spoke","simple","investig"
"1894","spoken","simply","invit"
"1895","spot","since","invol"
"1896","spring","sincere","involv"
"1897","squeez","sincerely","involvedtalk"
"1898","st","sing","ipad"
"1899","stabilis","single","iri"
"1900","stabl","sister","isn"
"1901","staf","sit","isn’t"
"1902","stafat","situation","isnt"
"1903","stage","six","isocarboxazid"
"1904","stai","size","isol"
"1905","stair","skill","issu"
"1906","stand","skin","issuecondit"
"1907","standard","sleep","issuesanxieti"
"1908","star","slight","item"
"1909","start","slightly","ive"
"1910","state","slot","ivig"
"1911","step","slow","iyou"
"1912","steroid","small","jab"
"1913","still","smart","jackleen"
"1914","stim","smash","jacob"
"1915","stimul","smile","jail"
"1916","stock","smiley","jake"
"1917","stonebridg","smoke","jame"
"1918","stop","smooth","jami"
"1919","stori","smoothie","jan"
"1920","straight","smoothly","jane"
"1921","stranger","sn","januari"
"1922","strategi","snack","jarrett"
"1923","stratergi","soap","jasp"
"1924","street","social","jeez"
"1925","strength","sock","jen"
"1926","strengthen","soggy","jenna"
"1927","stress","solution","jenni"
"1928","stretch","solve","jess"
"1929","stroke","somebody","job"
"1930","strong","someone","jobthankyou"
"1931","stronger","something","jobthi"
"1932","strongli","sometimes","joe"
"1933","structur","somewhere","jog"
"1934","struggl","son","john"
"1935","stuck","soon","join"
"1936","student","sophie","joint"
"1937","studi","sore","jojo"
"1938","stuff","sorry","joke"
"1939","stupid","sort","joker"
"1940","subject","sound","jolli"
"1941","substanc","source","josh"
"1942","success","south","journey"
"1943","suddenli","southwell","joy"
"1944","sue","spa","judement"
"1945","suffer","space","judg"
"1946","sugar","speak","judgement"
"1947","suger","speaker","judgment"
"1948","suggest","special","jug"
"1949","suicid","specialist","juli"
"1950","suit","specific","juliet"
"1951","suitabl","speech","jump"
"1952","summaris","speed","june"
"1953","summer","speedy","junior"
"1954","sun","spell","just"
"1955","super","spend","karen"
"1956","superb","spinal","katherin"
"1957","suppli","spirit","kathryn"
"1958","support","splendid","kati"
"1959","suppos","split","kayleigh"
"1960","sure","spot","keen"
"1961","surgeon","spring","keep"
"1962","surgeri","squeeze","keeper"
"1963","surnam","st","keft"
"1964","surpris","stable","kegel"
"1965","surround","stafat","kelli"
"1966","survei","stage","kenni"
"1967","suzann","stair","kept"
"1968","sweet","stand","kerri"
"1969","switch","standard","kettl"
"1970","symbol","star","kev"
"1971","sympathet","start","key"
"1972","sympathi","state","keywork"
"1973","symptom","stay","keyworkercpn"
"1974","system","step","khan"
"1975","t","steroid","kibworth"
"1976","tabl","stick","kid"
"1977","tablet","still","kidsal"
"1978","tackl","stim","kill"
"1979","tactic","stimulate","killer"
"1980","tailor","stock","kind"
"1981","take","stocking","kinda"
"1982","takeawai","stonebridge","kindcaringhelp"
"1983","taken","stop","kinder"
"1984","talk","story","kindli"
"1985","tap","straight","kindmad"
"1986","target","stranger","kindsupport"
"1987","tarnish","strategy","king"
"1988","task","stratergies","kingsley"
"1989","tast","street","kirsti"
"1990","taught","strength","kitchen"
"1991","tea","strengthen","kitchenward"
"1992","teach","stress","klaudia"
"1993","teacher","stressful","knee"
"1994","team","stretch","knew"
"1995","tear","stroke","knife"
"1996","techniqu","strong","knit"
"1997","ted","strongly","knoledg"
"1998","telephon","structure","know"
"1999","televis","struggle","knowledg"
"2000","tell","student","known"
"2001","temp","study","knpw"
"2002","temperatur","stuff","krishna"
"2003","tend","stupid","label"
"2004","tender","subject","labyrinth"
"2005","teresa","substance","lack"
"2006","term","success","lactat"
"2007","termin","successful","ladi"
"2008","terribl","suddenly","lag"
"2009","test","sue","lake"
"2010","text","suffer","lamin"
"2011","th","sugar","land"
"2012","thank","suger","landlin"
"2013","thankfulli","suggest","languag"
"2014","thankyou","suggestion","lanzo"
"2015","theatr","suicidal","laptop"
"2016","thei","suicide","larg"
"2017","themselv","suit","larger"
"2018","theori","suitable","last"
"2019","therapeut","suite","lata"
"2020","therapi","summarise","late"
"2021","therapist","summer","later"
"2022","therefor","sun","latest"
"2023","theyr","super","latham"
"2024","thi","superb","laugh"
"2025","thin","supply","laundri"
"2026","thing","support","laura"
"2027","think","supportive","lauren"
"2028","tho","suppose","law"
"2029","thompson","sure","lawti"
"2030","thorough","surgeon","lay"
"2031","thoroughli","surgery","layman"
"2032","though","surname","lea"
"2033","thought","surprise","lead"
"2034","threat","surround","leader"
"2035","threaten","survey","leaflet"
"2036","three","suzanne","leah"
"2037","throughout","sweet","leak"
"2038","thu","swift","learn"
"2039","thursdai","switch","learnt"
"2040","ti","symbol","least"
"2041","tick","sympathetic","leav"
"2042","tidi","sympathetically","lectur"
"2043","tighten","sympathy","led"
"2044","till","symptom","lee"
"2045","time","system","left"
"2046","tina","t","leg"
"2047","tip","table","leicest"
"2048","tire","tablet","leicesterrutland"
"2049","toast","tackle","leicestershir"
"2050","todai","tactic","length"
"2051","toe","tailor","lengthi"
"2052","togeth","take","lesley"
"2053","toilet","takeaway","less"
"2054","told","talk","lesser"
"2055","tom","talkative","lesson"
"2056","tomorrow","tap","let"
"2057","took","target","letter"
"2058","tool","tarnish","level"
"2059","top","task","levelon"
"2060","topic","taste","lewi"
"2061","total","tea","ley"
"2062","touch","teach","lgh"
"2063","tough","teacher","liais"
"2064","toward","team","lias"
"2065","town","tear","lie"
"2066","tracei","technique","life"
"2067","track","ted","life-chang"
"2068","tradit","telephone","life’"
"2069","train","television","lifelin"
"2070","trainer","tell","lifesav"
"2071","transfer","temp","lifestyl"
"2072","transplant","temperature","lifetim"
"2073","transport","tend","lifeyou"
"2074","trauma","tender","lift"
"2075","traumat","teresa","light"
"2076","traumatis","term","lighter"
"2077","travel","terrible","like"
"2078","travesti","test","limb"
"2079","treasur","text","limbo"
"2080","treat","th","limit"
"2081","treatement","thank","linda"
"2082","treatment","thankful","line"
"2083","tree","thankfully","link"
"2084","tremend","thankyou","lino"
"2085","trevor","thats","lip"
"2086","tri","theatre","lisa"
"2087","tricia","theory","lise"
"2088","trigger","therapeutic","list"
"2089","trip","therapist","listen"
"2090","trisha","therapy","listend"
"2091","trollei","therefore","listenedsupportedencourag"
"2092","troubl","theres","listurn"
"2093","true","theyre","liter"
"2094","truli","thin","litter"
"2095","truncat","thing","littl"
"2096","trust","think","live"
"2097","trustworthi","tho","liver"
"2098","truth","thompson","lmht"
"2099","try","thorough","lmhts"
"2100","tube","thoroughly","load"
"2101","tuesdai","though","loan"
"2102","tune","thought","local"
"2103","turn","thoughtful","locat"
"2104","tv","threat","locatoion"
"2105","twice","threaten","lock"
"2106","two","three","lockdown"
"2107","type","throughout","locker"
"2108","u","thursday","locum"
"2109","ulcer","thus","login"
"2110","ultim","tick","lol"
"2111","ultrasound","tidy","lone"
"2112","unabl","tie","long"
"2113","unaccept","tighten","longer"
"2114","unawar","till","look"
"2115","unbear","time","loop"
"2116","uncar","timely","loophol"
"2117","uncertain","tina","loro"
"2118","uncertainti","tip","lose"
"2119","uncomfort","tire","loss"
"2120","underli","toast","lost"
"2121","underpaid","today","lot"
"2122","understadn","toe","loud"
"2123","understaf","together","loughborough"
"2124","understand","toilet","louis"
"2125","understood","tom","louisa"
"2126","underwai","tomorrow","loung"
"2127","unfailingli","tool","love"
"2128","unfamiliar","top","lovelybrilli"
"2129","unfortun","topic","lovelynoth"
"2130","unhappi","total","lovey"
"2131","unhelp","totally","lovley"
"2132","unit","touch","low"
"2133","unknown","tough","lowdham"
"2134","unless","towards","lower"
"2135","unnecessari","town","lowest"
"2136","unobserv","tracey","lri"
"2137","unpleas","track","ltw"
"2138","unpreced","tradition","luci"
"2139","unprofession","train","lucki"
"2140","unsaf","trainer","luckili"
"2141","unsettl","transfer","luke"
"2142","unstabl","transplant","lumber"
"2143","unsur","transport","lunch"
"2144","unwel","trauma","lunchtim"
"2145","updat","traumatic","lung"
"2146","upon","traumatise","lynda"
"2147","upset","travel","lynn"
"2148","urgent","travesty","machin"
"2149","urologi","treasure","mad"
"2150","us","treat","made"
"2151","usag","treatement","madelson"
"2152","useless","treatment","magazin"
"2153","user","tree","magic"
"2154","usual","tremendous","main"
"2155","utilis","tremendously","maintain"
"2156","v","trevor","mainten"
"2157","vaccin","tricia","major"
"2158","valid","trigger","make"
"2159","valu","trip","male"
"2160","valuabl","trisha","mamber"
"2161","van","trolley","man"
"2162","vanessa","trouble","manag"
"2163","vari","true","manchest"
"2164","variabl","truly","mandala"
"2165","varieti","truncate","mandi"
"2166","variou","trust","mang"
"2167","vegetarian","trustworthy","manger"
"2168","vei","truth","mani"
"2169","verbal","truthful","mania"
"2170","veri","try","manic"
"2171","via","tube","manipul"
"2172","vicki","tuesday","manner"
"2173","video","tune","manor"
"2174","view","turn","mansfield"
"2175","viru","tv","map"
"2176","visit","twice","maralad"
"2177","visitor","two","march"
"2178","visual","type","marcus"
"2179","voic","u","margaretspeech"
"2180","volum","ulcer","margin"
"2181","volunt","ultimate","mari"
"2182","vulner","ultrasound","mark"
"2183","w","unable","market"
"2184","wa","unacceptable","marvel"
"2185","wage","unaware","marvellouw"
"2186","wai","unbearable","marvoul"
"2187","wait","uncertain","mask"
"2188","wake","uncertainty","maskswip"
"2189","walk","uncomfortable","massag"
"2190","walker","underlie","massiv"
"2191","want","underpay","mat"
"2192","ward","understadning","match"
"2193","warm","understaffed","mate"
"2194","warmer","understand","materi"
"2195","warmth","understandable","matern"
"2196","warn","undertake","math"
"2197","wash","underway","mathew"
"2198","wasnt","unfailingly","matron"
"2199","wast","unfamiliar","matt"
"2200","watch","unfortunate","matter"
"2201","water","unfortunately","matter--fact"
"2202","wean","unhappy","matthew"
"2203","wear","unhelpful","mattress"
"2204","websit","unit","max"
"2205","wee","unknown","may"
"2206","week","unless","mayb"
"2207","weekend","unnecessary","mayonnais"
"2208","weekli","unobserved","mbt"
"2209","weigh","unpleasant","mbti"
"2210","weight","unprecedented","mdt"
"2211","welcom","unprofessional","meal"
"2212","welfar","unsafe","mealtim"
"2213","well","unsettle","mean"
"2214","wellb","unstable","meaning"
"2215","went","unsure","meant"
"2216","werent","unwell","meantim"
"2217","west","update","measur"
"2218","weve","upon","meat"
"2219","whatev","upset","mechan"
"2220","whatsoev","urgent","med"
"2221","wheel","urology","medal"
"2222","wheelchair","us","mediat"
"2223","whenev","usage","medic"
"2224","whether","use","medicin"
"2225","whilst","useful","medicinesrescu"
"2226","whist","useless","medicsnon-med"
"2227","white","user","mediocr"
"2228","whole","usual","medit"
"2229","wide","usually","meet"
"2230","wider","utilise","meeveryon"
"2231","wife","v","mel"
"2232","willing","valid","melissa"
"2233","win","valuable","melton"
"2234","window","value","member"
"2235","wing","van","memori"
"2236","wipe","vanessa","men"
"2237","wise","variable","men’"
"2238","wish","variety","mental"
"2239","wit","various","mention"
"2240","withdraw","vary","mentor"
"2241","within","vegetarian","menu"
"2242","without","verbal","menus"
"2243","wk","vey","mess"
"2244","woman","via","messag"
"2245","wonder","vicky","met"
"2246","wonderful","video","metalk"
"2247","wonderfulli","view","metdiscuss"
"2248","wont","virus","methadon"
"2249","woodwork","visit","methat"
"2250","word","visitor","method"
"2251","work","visual","methodon"
"2252","worker","voice","meticul"
"2253","workshop","volume","mha"
"2254","world","volunteer","mhp"
"2255","worri","vulnerable","michael"
"2256","wors","w","michell"
"2257","worst","wage","microwav"
"2258","worth","wait","mid"
"2259","worthi","wake","middl"
"2260","worthwhil","walk","midst"
"2261","wouldnt","walker","midway"
"2262","wound","want","midwif"
"2263","write","ward","midwiv"
"2264","written","warm","might"
"2265","wrong","warmer","mighti"
"2266","x","warmth","migrain"
"2267","xrai","warn","mild"
"2268","xx","wash","mildmoder"
"2269","xxx","wasnt","mile"
"2270","xxxx","waste","milk"
"2271","y","watch","millbrook"
"2272","ye","water","million"
"2273","yeah","way","min"
"2274","year","wean","mind"
"2275","yesterdai","wear","mine"
"2276","yet","website","minefield"
"2277","young","wee","minim"
"2278","younger","week","minimis"
"2279","yourselv","weekend","minimum"
"2280","youv","weekly","minor"
"2281","yr","weigh","minut"
"2282","yvonn","weight","miracl"
"2283","zero","welcome","mirror"
"2284","zoe","welfare","mis"
"2285","zoom","wellbeing","misconcept"
"2286",NA,"werent","misdiagnos"
"2287",NA,"west","miser"
"2288",NA,"weve","misgend"
"2289",NA,"whatever","misjudg"
"2290",NA,"whats","mislead"
"2291",NA,"whatsoever","miss"
"2292",NA,"wheel","mistak"
"2293",NA,"wheelchair","mistreat"
"2294",NA,"whenever","mistrust"
"2295",NA,"whether","misunderstand"
"2296",NA,"whilst","misunderstood"
"2297",NA,"whist","misus"
"2298",NA,"white","mix"
"2299",NA,"whole","mixer"
"2300",NA,"wide","mnd"
"2301",NA,"wife","moan"
"2302",NA,"wifes","mobil"
"2303",NA,"willingness","mock"
"2304",NA,"win","model"
"2305",NA,"wind","modern"
"2306",NA,"window","modir"
"2307",NA,"wing","moe"
"2308",NA,"wipe","moment"
"2309",NA,"wise","momentum"
"2310",NA,"wish","monday"
"2311",NA,"withdraw","money"
"2312",NA,"withdrawal","monitor"
"2313",NA,"within","month"
"2314",NA,"without","mood"
"2315",NA,"witness","moon"
"2316",NA,"wk","moral"
"2317",NA,"woman","morex"
"2318",NA,"wonder","moribund"
"2319",NA,"wonderful","morn"
"2320",NA,"wonderfull","morphin"
"2321",NA,"wonderfully","morri"
"2322",NA,"wont","morrison"
"2323",NA,"woodwork","most"
"2324",NA,"word","moth"
"2325",NA,"work","mother"
"2326",NA,"worker","motiv"
"2327",NA,"workshop","motivationg"
"2328",NA,"world","motor"
"2329",NA,"worry","mouth"
"2330",NA,"worth","move"
"2331",NA,"worthwhile","movement"
"2332",NA,"worthy","movi"
"2333",NA,"wouldnt","mri"
"2334",NA,"wound","mrs"
"2335",NA,"write","msk"
"2336",NA,"wrong","mth"
"2337",NA,"x","mths"
"2338",NA,"xray","much"
"2339",NA,"xx","mug"
"2340",NA,"xxx","multi"
"2341",NA,"xxxx","multidisciplinari"
"2342",NA,"xxxxs","multipl"
"2343",NA,"y","mum"
"2344",NA,"year","mum’"
"2345",NA,"yes","mummi"
"2346",NA,"yesterday","murder"
"2347",NA,"yet","muscl"
"2348",NA,"young","music"
"2349",NA,"youre","must"
"2350",NA,"youve","myeloma"
"2351",NA,"yr","myself"
"2352",NA,"yvonne","nag"
"2353",NA,"zero","naggi"
"2354",NA,"zoe","nail"
"2355",NA,"zoom","name"
"2356",NA,NA,"nan"
"2357",NA,NA,"narborough"
"2358",NA,NA,"nasti"
"2359",NA,NA,"natali"
"2360",NA,NA,"natasha"
"2361",NA,NA,"nation"
"2362",NA,NA,"natur"
"2363",NA,NA,"navig"
"2364",NA,NA,"ncarer"
"2365",NA,NA,"near"
"2366",NA,NA,"nearbi"
"2367",NA,NA,"nearer"
"2368",NA,NA,"neat"
"2369",NA,NA,"necess"
"2370",NA,NA,"necessari"
"2371",NA,NA,"necessarili"
"2372",NA,NA,"neck"
"2373",NA,NA,"need"
"2374",NA,NA,"neededhav"
"2375",NA,NA,"neededprovid"
"2376",NA,NA,"needl"
"2377",NA,NA,"needsexplain"
"2378",NA,NA,"neeed"
"2379",NA,NA,"negat"
"2380",NA,NA,"neglect"
"2381",NA,NA,"neglig"
"2382",NA,NA,"negoti"
"2383",NA,NA,"neil"
"2384",NA,NA,"neither"
"2385",NA,NA,"neonat"
"2386",NA,NA,"neprostomi"
"2387",NA,NA,"nerv"
"2388",NA,NA,"nervous"
"2389",NA,NA,"net"
"2390",NA,NA,"network"
"2391",NA,NA,"neuro"
"2392",NA,NA,"neurologist"
"2393",NA,NA,"never"
"2394",NA,NA,"new"
"2395",NA,NA,"newest"
"2396",NA,NA,"newmarket"
"2397",NA,NA,"newspap"
"2398",NA,NA,"next"
"2399",NA,NA,"nfd"
"2400",NA,NA,"nhs"
"2401",NA,NA,"nice"
"2402",NA,NA,"nice”"
"2403",NA,NA,"nice<U+0001F601>"
"2404",NA,NA,"nicer"
"2405",NA,NA,"nicest"
"2406",NA,NA,"nicki"
"2407",NA,NA,"niec"
"2408",NA,NA,"niggl"
"2409",NA,NA,"night"
"2410",NA,NA,"nighti"
"2411",NA,NA,"nightmar"
"2412",NA,NA,"nighttim"
"2413",NA,NA,"nil"
"2414",NA,NA,"nina"
"2415",NA,NA,"nine"
"2416",NA,NA,"nit"
"2417",NA,NA,"nixon"
"2418",NA,NA,"nmc"
"2419",NA,NA,"nnoth"
"2420",NA,NA,"nobodi"
"2421",NA,NA,"nohe"
"2422",NA,NA,"noher"
"2423",NA,NA,"nois"
"2424",NA,NA,"noisi"
"2425",NA,NA,"nomin"
"2426",NA,NA,"non"
"2427",NA,NA,"non-comput"
"2428",NA,NA,"non-exist"
"2429",NA,NA,"non-judgement"
"2430",NA,NA,"non-nh"
"2431",NA,NA,"non-threaten"
"2432",NA,NA,"none"
"2433",NA,NA,"nope"
"2434",NA,NA,"nora"
"2435",NA,NA,"normal"
"2436",NA,NA,"not"
"2437",NA,NA,"notch"
"2438",NA,NA,"note"
"2439",NA,NA,"noth"
"2440",NA,NA,"nothimg"
"2441",NA,NA,"nothin"
"2442",NA,NA,"nothink"
"2443",NA,NA,"nothng"
"2444",NA,NA,"notic"
"2445",NA,NA,"notifi"
"2446",NA,NA,"notion"
"2447",NA,NA,"nottingham"
"2448",NA,NA,"nottinghamshir"
"2449",NA,NA,"nough"
"2450",NA,NA,"nought"
"2451",NA,NA,"nov"
"2452",NA,NA,"novemb"
"2453",NA,NA,"now"
"2454",NA,NA,"nowaday"
"2455",NA,NA,"nowher"
"2456",NA,NA,"nrs"
"2457",NA,NA,"nspu"
"2458",NA,NA,"nuanc"
"2459",NA,NA,"nufin"
"2460",NA,NA,"nuisanc"
"2461",NA,NA,"numb"
"2462",NA,NA,"number"
"2463",NA,NA,"numer"
"2464",NA,NA,"nurs"
"2465",NA,NA,"nurser"
"2466",NA,NA,"nurseri"
"2467",NA,NA,"nursesno"
"2468",NA,NA,"nursespandem"
"2469",NA,NA,"nursework"
"2470",NA,NA,"nurtur"
"2471",NA,NA,"nutrici"
"2472",NA,NA,"nutrit"
"2473",NA,NA,"oakham"
"2474",NA,NA,"obes"
"2475",NA,NA,"obnoxi"
"2476",NA,NA,"observ"
"2477",NA,NA,"obsess"
"2478",NA,NA,"obtain"
"2479",NA,NA,"obvious"
"2480",NA,NA,"occas"
"2481",NA,NA,"occasion"
"2482",NA,NA,"occup"
"2483",NA,NA,"occupi"
"2484",NA,NA,"occur"
"2485",NA,NA,"occurr"
"2486",NA,NA,"octob"
"2487",NA,NA,"odd"
"2488",NA,NA,"oess"
"2489",NA,NA,"offer"
"2490",NA,NA,"offerspromis"
"2491",NA,NA,"offic"
"2492",NA,NA,"offici"
"2493",NA,NA,"offset"
"2494",NA,NA,"ofi"
"2495",NA,NA,"often"
"2496",NA,NA,"okay"
"2497",NA,NA,"old"
"2498",NA,NA,"older"
"2499",NA,NA,"olivia"
"2500",NA,NA,"olymp"
"2501",NA,NA,"omit"
"2502",NA,NA,"one"
"2503",NA,NA,"ongo"
"2504",NA,NA,"onlin"
"2505",NA,NA,"onto"
"2506",NA,NA,"oor"
"2507",NA,NA,"open"
"2508",NA,NA,"oper"
"2509",NA,NA,"opinion"
"2510",NA,NA,"opportun"
"2511",NA,NA,"opposit"
"2512",NA,NA,"optimis"
"2513",NA,NA,"optimist"
"2514",NA,NA,"option"
"2515",NA,NA,"oral"
"2516",NA,NA,"orang"
"2517",NA,NA,"orchid"
"2518",NA,NA,"order"
"2519",NA,NA,"organ"
"2520",NA,NA,"organis"
"2521",NA,NA,"origin"
"2522",NA,NA,"osteopath"
"2523",NA,NA,"other"
"2524",NA,NA,"otherwis"
"2525",NA,NA,"otphysio"
"2526",NA,NA,"out"
"2527",NA,NA,"outcom"
"2528",NA,NA,"outdoor"
"2529",NA,NA,"outlook"
"2530",NA,NA,"outpati"
"2531",NA,NA,"outreach"
"2532",NA,NA,"outsid"
"2533",NA,NA,"outstand"
"2534",NA,NA,"ovari"
"2535",NA,NA,"over"
"2536",NA,NA,"overal"
"2537",NA,NA,"overcom"
"2538",NA,NA,"overcook"
"2539",NA,NA,"overdos"
"2540",NA,NA,"overnight"
"2541",NA,NA,"oversight"
"2542",NA,NA,"overstretch"
"2543",NA,NA,"overtim"
"2544",NA,NA,"overweight"
"2545",NA,NA,"overwhelm"
"2546",NA,NA,"owe"
"2547",NA,NA,"ownership"
"2548",NA,NA,"oxygen"
"2549",NA,NA,"pace"
"2550",NA,NA,"pack"
"2551",NA,NA,"packag"
"2552",NA,NA,"packet"
"2553",NA,NA,"pad"
"2554",NA,NA,"paediatrician"
"2555",NA,NA,"page"
"2556",NA,NA,"paid"
"2557",NA,NA,"pain"
"2558",NA,NA,"pain<U+2764><U+FE0F><U+2764><U+FE0F>lov"
"2559",NA,NA,"painkil"
"2560",NA,NA,"painless"
"2561",NA,NA,"paint"
"2562",NA,NA,"paion"
"2563",NA,NA,"pair"
"2564",NA,NA,"palac"
"2565",NA,NA,"palliat"
"2566",NA,NA,"pam"
"2567",NA,NA,"pamper"
"2568",NA,NA,"pandem"
"2569",NA,NA,"panic"
"2570",NA,NA,"paper"
"2571",NA,NA,"paperwork"
"2572",NA,NA,"papworth"
"2573",NA,NA,"par"
"2574",NA,NA,"paracetamol"
"2575",NA,NA,"parad"
"2576",NA,NA,"paramed"
"2577",NA,NA,"parent"
"2578",NA,NA,"parentcar"
"2579",NA,NA,"parentscar"
"2580",NA,NA,"park"
"2581",NA,NA,"part"
"2582",NA,NA,"parti"
"2583",NA,NA,"particip"
"2584",NA,NA,"particular"
"2585",NA,NA,"partner"
"2586",NA,NA,"partssect"
"2587",NA,NA,"pas"
"2588",NA,NA,"pass"
"2589",NA,NA,"passion"
"2590",NA,NA,"past"
"2591",NA,NA,"patch"
"2592",NA,NA,"patchi"
"2593",NA,NA,"patent"
"2594",NA,NA,"path"
"2595",NA,NA,"pathway"
"2596",NA,NA,"patienc"
"2597",NA,NA,"patient"
"2598",NA,NA,"patient-cent"
"2599",NA,NA,"patient-respons"
"2600",NA,NA,"patient’"
"2601",NA,NA,"patientcar"
"2602",NA,NA,"patientsservic"
"2603",NA,NA,"patricia"
"2604",NA,NA,"patrick"
"2605",NA,NA,"patronis"
"2606",NA,NA,"pattern"
"2607",NA,NA,"paul"
"2608",NA,NA,"paula"
"2609",NA,NA,"pay"
"2610",NA,NA,"peac"
"2611",NA,NA,"pediatrician"
"2612",NA,NA,"peer"
"2613",NA,NA,"peg"
"2614",NA,NA,"peirzniach"
"2615",NA,NA,"pelvi"
"2616",NA,NA,"pen"
"2617",NA,NA,"pend"
"2618",NA,NA,"peni"
"2619",NA,NA,"peopl"
"2620",NA,NA,"people”"
"2621",NA,NA,"per"
"2622",NA,NA,"percent<U+0001F60D><ed><U+00A0><U+00BD>l"
"2623",NA,NA,"percept"
"2624",NA,NA,"perfect"
"2625",NA,NA,"perform"
"2626",NA,NA,"perfumeaftershav"
"2627",NA,NA,"perhap"
"2628",NA,NA,"period"
"2629",NA,NA,"perman"
"2630",NA,NA,"permit"
"2631",NA,NA,"perscrib"
"2632",NA,NA,"perscript"
"2633",NA,NA,"persist"
"2634",NA,NA,"person"
"2635",NA,NA,"person-centr"
"2636",NA,NA,"personalis"
"2637",NA,NA,"personconsult"
"2638",NA,NA,"personnel"
"2639",NA,NA,"perspect"
"2640",NA,NA,"pest"
"2641",NA,NA,"pete"
"2642",NA,NA,"peter"
"2643",NA,NA,"peterborough"
"2644",NA,NA,"petrifi"
"2645",NA,NA,"pharmaci"
"2646",NA,NA,"phatima"
"2647",NA,NA,"phenelzin"
"2648",NA,NA,"phil"
"2649",NA,NA,"phlebotomi"
"2650",NA,NA,"phlebotomist"
"2651",NA,NA,"phone"
"2652",NA,NA,"phone-cal"
"2653",NA,NA,"phonic"
"2654",NA,NA,"phrase"
"2655",NA,NA,"phycologist"
"2656",NA,NA,"physic"
"2657",NA,NA,"physicalment"
"2658",NA,NA,"physio"
"2659",NA,NA,"physioot"
"2660",NA,NA,"physiotherapi"
"2661",NA,NA,"physiotherapist"
"2662",NA,NA,"physiowhat"
"2663",NA,NA,"piano"
"2664",NA,NA,"picc"
"2665",NA,NA,"pick"
"2666",NA,NA,"pictur"
"2667",NA,NA,"piec"
"2668",NA,NA,"pier"
"2669",NA,NA,"pierzchniak"
"2670",NA,NA,"pierzschniak"
"2671",NA,NA,"pilat"
"2672",NA,NA,"pill"
"2673",NA,NA,"pillow"
"2674",NA,NA,"pillowblanket"
"2675",NA,NA,"pin"
"2676",NA,NA,"pinpoint"
"2677",NA,NA,"piotor"
"2678",NA,NA,"pipe"
"2679",NA,NA,"piss"
"2680",NA,NA,"piti"
"2681",NA,NA,"pixel"
"2682",NA,NA,"place"
"2683",NA,NA,"placementsupport"
"2684",NA,NA,"plan"
"2685",NA,NA,"plant"
"2686",NA,NA,"plaster"
"2687",NA,NA,"plate"
"2688",NA,NA,"play"
"2689",NA,NA,"plea"
"2690",NA,NA,"pleas"
"2691",NA,NA,"pleasant"
"2692",NA,NA,"pleasent"
"2693",NA,NA,"pleasur"
"2694",NA,NA,"plenti"
"2695",NA,NA,"plug"
"2696",NA,NA,"plus"
"2697",NA,NA,"pneumonia"
"2698",NA,NA,"pnp"
"2699",NA,NA,"podiatr"
"2700",NA,NA,"podiatri"
"2701",NA,NA,"podiatrist"
"2702",NA,NA,"poignant"
"2703",NA,NA,"poilit"
"2704",NA,NA,"point"
"2705",NA,NA,"polar"
"2706",NA,NA,"polersi"
"2707",NA,NA,"polic"
"2708",NA,NA,"polici"
"2709",NA,NA,"polish"
"2710",NA,NA,"polit"
"2711",NA,NA,"pollut"
"2712",NA,NA,"polymyalgia"
"2713",NA,NA,"pone"
"2714",NA,NA,"pool"
"2715",NA,NA,"poor"
"2716",NA,NA,"pop"
"2717",NA,NA,"pork"
"2718",NA,NA,"porridg"
"2719",NA,NA,"portabl"
"2720",NA,NA,"porter"
"2721",NA,NA,"portersclean"
"2722",NA,NA,"portion"
"2723",NA,NA,"pose"
