"","Stemmed","Lemmatised","STM"
"313","challeng","cbt","authent"
"314","chanc","centre","author"
"315","chang","certain","authoris"
"316","chaplainci","certainly","autism"
"317","charact","chain","autismbipolar"
"318","charlott","chair","autist"
"319","chase","challenge","autom"
"320","chat","chance","auxiliari"
"321","chatti","change","avail"
"322","check","chaplaincy","avoid"
"323","cheer","character","await"
"324","chees","charlotte","awak"
"325","chemo","chase","awar"
"326","cherri","chat","award"
"327","chest","chatty","away"
"328","child","check","awesom"
"329","childhood","cheer","awhil"
"330","children","cheerful","awkward"
"331","chip","cheese","aww"
"332","chocol","chemo","babi"
"333","choic","cherry","baby’"
"334","choos","chest","back"
"335","chose","child","background"
"336","chri","childhood","bacon"
"337","chronic","childrens","bacteria"
"338","cigarett","chip","bad"
"339","circl","chocolate","badg"
"340","circumst","choice","baffl"
"341","citi","choose","bag"
"342","clair","chris","bake"
"343","clarif","chronic","balanc"
"344","clarifi","cigarette","balance’"
"345","clariti","circle","balconi"
"346","class","circumstance","balmor"
"347","clean","city","ban"
"348","cleaner","claire","band"
"349","cleanli","clarification","bandag"
"350","clear","clarify","bang"
"351","clearer","clarity","bank"
"352","clearli","class","banter"
"353","client","clean","bare"
"354","climat","cleaner","bareabl"
"355","clinic","cleanliness","barrier"
"356","clinician","clear","base"
"357","close","clearly","baselin"
"358","closer","client","basi"
"359","cloth","climate","basic"
"360","cloud","clinic","basicallyand"
"361","club","clinical","basket"
"362","co","clinician","bassetlaw"
"363","coach","close","bath"
"364","code","closely","bathroom"
"365","coeliac","clothe","batteri"
"366","coffe","cloud","battl"
"367","cognit","club","bay"
"368","cold","co","bearabl"
"369","colder","coach","beard"
"370","colleagu","code","beaumont"
"371","collect","coeliac","beauti"
"372","colour","coffee","becam"
"373","combin","cognitive","becaus"
"374","come","cold","becki"
"375","comfi","colleague","becom"
"376","comfort","collect","bed"
"377","commenc","collection","bedpan"
"378","commend","colour","bedroom"
"379","comment","colourful","bedsid"
"380","commit","combination","bee"
"381","commod","combine","beeen"
"382","common","come","beep"
"383","commun","comfort","beeper"
"384","compani","comfortable","beforehand"
"385","compar","comfy","beg"
"386","compass","commence","began"
"387","compassion","commendable","begin"
"388","compet","comment","beginn"
"389","complain","commitment","beginning--middle--end"
"390","complaint","commode","behalf"
"391","complet","common","behav"
"392","completlei","communicate","behavior"
"393","complex","communication","behaviour"
"394","compliant","community","behind"
"395","complic","company","belat"
"396","compliment","compare","believ"
"397","comprehens","compassion","belittl"
